state,county,Barack Obama,Mitt Romney,Other_2012,Total Votes_2012,Winner_2012,Margin_2012,Donald Trump,Hillary Clinton,Other_2016,Total Votes_2016,Winner_2016,Margin_2016,Total_Votes_Percent_Change
Colorado,Cheyenne,172,889,32,1093,Mitt Romney,717,925,132,45,1102,Donald Trump,793,0.82
Colorado,Clear Creek,3119,2430,194,5743,Barack Obama,689,2575,2729,562,5866,Hillary Clinton,154,2.14
Colorado,Conejos,2213,1835,53,4101,Barack Obama,378,1914,1771,337,4022,Donald Trump,143,-1.93
Colorado,Costilla,1340,446,51,1837,Barack Obama,894,588,1125,135,1848,Hillary Clinton,537,0.6
Colorado,Crowley,535,924,43,1502,Mitt Romney,389,1079,339,109,1527,Donald Trump,740,1.66
Colorado,Custer,868,1788,59,2715,Mitt Romney,920,2061,797,208,3066,Donald Trump,1264,12.93
Colorado,Delta,4622,10915,388,15925,Mitt Romney,6293,11655,4087,1048,16790,Donald Trump,7568,5.43
Colorado,Denver,222018,73111,6565,301694,Barack Obama,148907,62690,244551,24611,331852,Hillary Clinton,181861,10
Colorado,Dolores,334,859,52,1245,Mitt Romney,525,944,242,69,1255,Donald Trump,702,0.8
Colorado,Douglas,60991,104204,2586,167781,Mitt Romney,43213,102573,68657,16269,187499,Donald Trump,33916,11.75
