state,county,median_age,unemployment,total_population,graduate_degree,at_least_bachelor_s_degree,at_least_high_school_diploma,less_than_high_school,median_earnings_2010_dollars,white,black,hispanic,asian,farming_fishing_and_forestry_occupations,construction_extraction_maintenance_and_repair_occupations,management_professional_and_related_occupations,production_transportation_and_material_moving_occupations,sales_and_office_occupations,service_occupations
Iowa,Hamilton,40.9,0.076,15614,3.3,16.4,90.3,9.7,28962.82286,92.9,0.15,3.7,2.4,1.2,8.3,29.1,25.4,22.6,13.45
Iowa,Hancock,44.1,0.051,11340,3.8,15.4,89.5,10.5,26884.88921,94.85,0.25,3.7,0.35,1.7,10.05,27.3,24.55,21.1,15.3
Iowa,Hardin,43.5,0.055,17510,6.7,20.2,90.5,9.5,25240.5854,94.15,1.1,3.6,0.35,3.55,9.4,31.9,16.9,22.75,15.5
Iowa,Harrison,42,0.046,15169,3,15.5,90.4,9.6,28828.41174,97.35,0.15,1.25,0.3,0.9,12.65,32.15,16.75,21.95,15.6
Iowa,Henry,39.1,0.066,20111,5.7,19.9,89.2,10.8,25992.03143,91.3,1.45,2.9,2.95,1.1,11.2,27.9,23.2,18.35,18.2
Iowa,Howard,41.3,0.052,9527,3,11.5,86.8,13.2,26203.32921,97.75,0.2,1.1,0.2,1.8,9.9,26.6,26.8,17.6,17.3
Iowa,Humboldt,44.2,0.044,9730,4.2,15.9,88.8,11.2,26379.65048,94.75,0.2,3.05,0.2,2.05,11.6,30.25,17.65,23.25,15.25
Iowa,Ida,44.2,0.04,7030,4.6,18.3,90.1,9.9,26314.30127,97.5,0.1,1.3,0.3,2.85,9.8,32.7,21.1,19.05,14.5
Iowa,Iowa,41.8,0.054,16097,4.4,19.2,91.9,8.1,30420.92826,97.05,0.25,1.7,0.25,1.6,10,32.05,19.1,23,14.25
Iowa,Jackson,42.9,0.057,19870,4.2,15,87.4,12.6,25470.27492,97.4,0.15,0.95,0.15,2.1,12.5,25.75,23.65,20.45,15.55
Iowa,Jasper,41.4,0.07,36724,4.9,16.6,90,10,27425.66,95.8,1.2,1.5,0.5,0.4,9.35,29.5,19.05,26.25,15.45
Iowa,Jefferson,44.9,0.063,16169,13.1,30.1,91.5,8.5,20939.99397,89.8,1.05,2.45,5.4,1.75,9.4,37.3,14.75,22.7,14.1
Iowa,Johnson,28.8,0.038,128346,23.1,50.8,95,5,22929.76889,85,4.15,3.95,4.95,0.45,5.85,44.35,7.75,23.8,17.8
Iowa,Jones,42.4,0.057,20501,4,15.9,89.4,10.6,25818.70667,95.45,1.8,1.05,0.5,1.2,12.35,26.9,18.8,23.05,17.7
Iowa,Keokuk,42.7,0.057,10611,3.2,13.8,89.7,10.3,25437.69143,98.1,0.3,0.85,0.15,3.4,11.2,23.95,21.55,20.7,19.2
Iowa,Kossuth,46.2,0.037,15519,4.5,16.7,90,10,27449.91461,97.4,0.25,1.35,0.45,2.2,7.2,35.55,17.25,23.1,14.75
Iowa,Lee,41.9,0.08,35817,5,14.8,86.3,13.7,24475.9781,91.75,3.15,2.85,0.45,0.8,9.95,26.35,24.85,19.4,18.65
Iowa,Linn,36.5,0.053,208090,8.3,29.6,93.2,6.8,30823.68476,89.85,3.55,2.4,1.85,0.4,8,37.15,12.9,26.45,15.1
Iowa,Louisa,38.3,0.057,11522,2.9,13.1,81.5,18.5,25050.52762,82,0.25,15.95,0.6,1.6,11.35,22.5,31.85,15.8,16.9
Iowa,Lucas,42.9,0.045,9154,2.4,10.5,87.4,12.6,25315.76476,97.85,0.15,0.8,0.3,1.4,8.15,22.2,23.55,27.45,17.3
Iowa,Lyon,38.7,0.027,11427,3.7,15.9,85.9,14.1,26966.61302,97.65,0.15,1.45,0.3,4.25,7.55,32.45,18.8,21.75,15.2
Iowa,Madison,39.3,0.059,15466,4.7,18.2,93,7,31752.24476,97.15,0.3,1.45,0.15,0.85,15.85,33.45,11.1,26.8,11.95
Iowa,Mahaska,39,0.055,22237,4.9,17.9,88,12,25646.52889,94.95,1.05,1.55,1.2,1.1,8.65,29.45,22.6,23.1,15.1
Iowa,Marion,38.7,0.051,32979,7.3,24,91.4,8.6,27009.60953,95.9,0.5,1.4,1.1,0.7,8.45,31.55,19.3,23.65,16.3
Iowa,Marshall,39.4,0.067,39870,5.7,18.7,85.7,14.3,27821.11016,80.25,1.4,15.7,1.1,0.85,9.2,29.2,22.95,22,15.75
Iowa,Mills,41.1,0.039,15055,5.1,22.6,86.7,13.3,31419.91016,95.9,0.3,2.25,0.45,0.9,11.6,29.45,14.3,24.25,19.5
Iowa,Mitchell,43.5,0.048,10783,4.2,16.6,89.6,10.4,26460.24857,98.3,0.3,0.9,0.2,3,10.1,29.9,23.5,19.15,14.25
Iowa,Monona,46.2,0.071,9180,2.6,14.7,87.6,12.4,23500.10413,96.7,0.2,1.1,0.2,2.4,11.45,28.45,16.5,25.45,15.75
Iowa,Monroe,43.1,0.056,7791,4,15.1,88.3,11.7,24272.6581,96.9,0.45,1.15,0.45,1.15,8.55,30.85,25.7,20.35,13.45
Iowa,Montgomery,43.9,0.054,10854,3.3,17.6,87.7,12.3,23309.01143,95.75,0.2,2.65,0.3,3.1,9.2,28.25,17,23.75,18.7
Iowa,Muscatine,38,0.055,42596,6.5,19.8,84.3,15.7,27409.40762,81.9,1.15,14.9,0.85,0.95,9.05,27.95,25.25,21.9,14.9
